,,,,,,,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값
작업장,일자,지종,평량,달력연도,달력월,시간|항목,BLADE_시간,BP평량,거칠음도_B,거칠음도_T,도공량_THERMAL,도공량_UNDER,동적발색도_EPSON,동적발색_0.8msec,동적발색_1.28msec,두께,백감도,백색도,불투명도,색상_a,색상_b,색상_L,선압,선압,속도,인열강도_MD,인장강도_MD,정적발색_110℃,정적발색_70℃,지합,투기도,평량,평활도_B,평활도_T,회분(배부)
CM22 코타와인더,2025.01.01,한솔감열지SF 장항,48,2025,1,0059,6.20,36.00,4.73,2.40,3.18,6.73,3.36,2.07,2.39,55.90,98.40,93.20,86.30,-0.44,1.09,94.10,146.00,96.00,"1,300.00",,,1.27,0.16,,,47.20,181.00,491.00,
CM22 코타와인더,2025.01.01,한솔감열지SF 장항,48,2025,1,0403,9.20,36.00,4.87,2.51,3.18,6.24,3.32,2.05,2.39,56.20,98.50,93.10,85.60,-0.45,1.14,94.10,143.00,93.00,"1,300.00",,,1.41,0.17,,,46.80,183.00,486.00,
CM22 코타와인더,2025.01.01,한솔감열지SF 장항,48,2025,1,0818,13.50,36.80,4.95,2.54,3.18,6.46,3.34,2.05,2.39,55.50,98.80,93.30,85.60,-0.43,1.07,94.20,143.00,93.00,"1,300.00",,,1.36,0.17,,,46.80,183.00,457.00,
CM22 코타와인더,2025.01.01,한솔감열지SF 장항,48,2025,1,1325,18.50,36.80,4.77,2.48,3.16,6.21,3.33,2.01,2.35,55.50,98.80,93.70,85.30,-0.50,1.21,94.40,143.00,93.00,"1,300.00",,,1.33,0.16,,,47.00,193.00,491.00,
CM22 코타와인더,2025.01.11,한솔감열지SF 장항,48,2025,1,0511,1.60,36.50,5.09,2.49,3.31,6.83,3.37,1.95,2.38,56.00,99.60,92.50,85.20,-0.52,1.01,93.70,135.00,85.00,"1,250.00",,,1.48,0.16,,,47.60,179.00,498.00,
CM22 코타와인더,2025.01.11,한솔감열지SF 장항,48,2025,1,0825,5.00,36.00,5.04,2.47,3.28,6.51,3.36,2.06,2.40,57.00,99.00,92.90,85.70,-0.48,1.12,94.00,133.00,83.00,"1,250.00",,,1.35,0.16,,,48.40,169.00,468.00,
CM22 코타와인더,2025.01.11,한솔감열지SF 장항,48,2025,1,1301,9.30,36.00,5.16,2.53,3.25,6.71,3.36,1.97,2.37,56.40,98.20,92.70,85.40,-0.52,1.19,93.90,133.00,83.00,"1,300.00",,,1.39,0.16,,,47.50,168.00,461.00,
CM22 코타와인더,2025.01.11,한솔감열지SF 장항,48,2025,1,1738,14.10,36.40,5.12,2.57,3.25,6.58,3.38,2.02,2.37,56.10,98.47,92.85,85.58,-0.52,1.16,94.08,133.00,83.00,"1,300.00",,,1.39,0.16,,,47.40,173.00,459.00,
CM22 코타와인더,2025.01.11,한솔감열지SF 장항,48,2025,1,2043,17.10,36.90,5.12,2.55,3.25,6.36,3.35,2.00,2.38,57.60,98.65,93.08,85.96,-0.49,1.18,94.15,133.00,83.00,"1,300.00",,,1.37,0.16,,,48.30,176.00,489.00,
CM22 코타와인더,2025.01.12,한솔감열지SF 장항,48,2025,1,2106,1.40,36.60,5.07,2.45,3.17,6.90,3.36,2.02,2.37,56.00,97.94,92.64,85.79,-0.54,1.09,93.95,133.00,83.00,"1,100.00",,,1.30,0.16,,,47.80,183.00,535.00,
CM22 코타와인더,2025.01.12,한솔감열지SF 장항,48,2025,1,0118,20.40,36.00,5.19,2.54,3.23,6.67,3.34,2.03,2.37,55.80,97.80,92.50,85.70,-0.56,1.19,93.90,133.00,83.00,"1,300.00",,,1.36,0.17,,,47.50,178.00,484.00,
CM22 코타와인더,2025.01.12,한솔감열지SF 장항,48,2025,1,0428,3.00,36.00,5.15,2.55,3.21,6.83,3.38,2.05,2.37,56.40,97.40,92.70,86.20,-0.56,1.18,94.00,133.00,83.00,"1,300.00",,,1.41,0.17,,,48.00,182.00,508.00,
CM22 코타와인더,2025.01.12,한솔감열지SF 장항,48,2025,1,0859,6.20,36.00,5.12,2.61,3.19,6.71,3.32,1.98,2.37,55.80,98.00,92.70,85.50,-0.53,1.15,93.90,133.00,83.00,"1,300.00",,,1.36,0.16,,,46.80,170.00,488.00,
CM22 코타와인더,2025.01.12,한솔감열지SF 장항,48,2025,1,1309,3.10,36.00,5.09,2.46,3.19,6.81,3.38,2.04,2.38,56.70,97.60,92.70,85.90,-0.53,1.16,94.00,133.00,83.00,"1,300.00",,,1.37,0.17,,,48.00,172.00,493.00,
CM22 코타와인더,2025.01.12,한솔감열지SF 장항,48,2025,1,1614,6.10,36.40,5.00,2.49,3.19,6.62,3.38,2.06,2.38,56.30,98.50,92.77,85.55,-0.51,1.16,94.00,133.00,83.00,"1,300.00",,,1.38,0.16,,,47.40,177.00,460.00,
CM22 코타와인더,2025.01.13,한솔감열지SF 장항,48,2025,1,0038,5.20,36.00,5.11,2.49,3.17,7.11,3.38,2.01,2.36,58.30,97.90,92.90,85.90,-0.56,1.21,94.10,133.00,83.00,"1,100.00",,,1.32,0.17,,,49.00,179.00,531.00,
CM22 코타와인더,2025.01.13,한솔감열지SF 장항,48,2025,1,0404,8.40,36.00,5.15,2.54,3.20,7.02,3.39,2.07,2.39,57.10,97.40,92.80,85.80,-0.57,1.21,94.10,133.00,83.00,"1,100.00",,,1.40,0.17,,,48.20,181.00,482.00,
CM22 코타와인더,2025.01.13,한솔감열지SF 장항,48,2025,1,0857,1.00,36.00,5.01,2.36,3.20,6.88,3.36,2.08,2.40,56.70,98.10,92.90,85.70,-0.54,1.18,94.10,133.00,83.00,"1,300.00",,,1.35,0.16,,,47.90,177.00,557.00,
CM22 코타와인더,2025.01.22,한솔감열지SF 장항,48,2025,1,0424,1.30,33.70,5.05,2.48,3.26,7.10,3.37,2.04,2.37,57.10,99.76,92.60,86.82,-0.50,0.98,93.79,135.00,85.00,"1,220.00",,,1.35,0.17,,,48.30,181.00,488.00,
CM22 코타와인더,2025.01.22,한솔감열지SF 장항,48,2025,1,2117,5.30,36.00,5.22,2.51,3.22,6.76,3.38,2.06,2.40,57.20,100.10,92.50,86.30,-0.50,1.02,93.70,135.00,85.00,"1,300.00",,,1.37,0.18,,,47.90,178.00,502.00,
CM22 코타와인더,2025.01.22,한솔감열지SF 장항,48,2025,1,1239,10.00,36.50,4.88,2.43,3.24,6.67,3.35,2.02,2.38,56.70,98.70,92.40,86.10,-0.51,1.07,93.80,135.00,85.00,"1,300.00",,,1.42,0.18,,,47.60,186.00,494.00,
CM22 코타와인더,2025.01.22,한솔감열지SF 장항,48,2025,1,0934,7.00,36.60,5.10,2.48,3.24,6.64,3.33,2.03,2.37,56.60,99.00,92.20,86.40,-0.54,1.06,93.70,135.00,85.00,"1,300.00",,,1.41,0.17,,,47.70,178.00,463.00,
CM22 코타와인더,2025.01.22,한솔감열지SF 장항,48,2025,1,1641,1.00,36.00,4.99,2.41,3.24,6.74,3.37,2.08,2.40,56.90,99.50,92.30,86.50,-0.64,0.97,93.60,135.00,85.00,"1,300.00",,,1.40,0.16,,,47.90,177.00,517.00,
CM22 코타와인더,2025.01.23,한솔감열지SF 장항,48,2025,1,0500,13.10,36.60,5.12,2.70,3.24,6.90,3.35,2.00,2.37,56.90,100.63,92.95,86.52,-0.44,1.00,93.91,135.00,85.00,"1,300.00",,,1.36,0.16,,,47.70,178.00,448.00,
CM22 코타와인더,2025.01.23,한솔감열지SF 장항,48,2025,1,0154,10.10,36.60,5.16,2.62,3.22,6.61,3.32,2.00,2.35,57.20,100.76,92.81,85.95,-0.44,0.98,93.83,135.00,85.00,"1,300.00",,,1.38,0.17,,,48.00,176.00,427.00,
CM22 코타와인더,2025.01.23,한솔감열지SF 장항,48,2025,1,0840,17.00,36.50,5.11,2.68,3.24,6.63,3.33,1.97,2.35,56.90,100.60,92.90,86.10,-0.42,1.02,93.90,135.00,85.00,"1,300.00",,,1.41,0.17,,,47.50,173.00,417.00,
CM22 코타와인더,2025.01.23,한솔감열지SF 장항,48,2025,1,1320,1.50,36.50,5.00,2.57,3.24,87.00,3.32,2.00,2.35,57.10,99.20,92.20,86.30,-0.49,1.05,93.60,135.00,85.00,"1,300.00",,,1.41,0.17,,,47.90,176.00,456.00,
CM22 코타와인더,2025.01.31,한솔감열지SF 장항,48,2025,1,0024,1.50,36.50,5.12,2.47,3.28,7.15,3.36,2.04,2.37,56.80,96.80,89.40,87.50,-0.73,0.93,92.30,137.00,87.00,"1,200.00",,,1.38,0.18,,,48.60,176.00,498.00,
CM22 코타와인더,2025.01.31,한솔감열지SF 장항,48,2025,1,0334,5.10,36.50,5.13,2.51,3.31,6.61,3.39,2.03,2.38,56.70,100.00,92.00,86.30,-0.51,0.86,93.30,137.00,87.00,"1,250.00",,,1.43,0.17,,,48.10,173.00,472.00,
CM22 코타와인더,2025.01.31,한솔감열지SF 장항,48,2025,1,1249,14.30,36.00,5.18,2.60,3.37,6.40,3.33,1.98,2.37,56.30,100.70,92.30,85.40,-0.54,0.92,93.40,137.00,87.00,"1,300.00",,,1.46,0.18,,,48.60,166.00,411.00,
CM22 코타와인더,2025.01.31,한솔감열지SF 장항,48,2025,1,0813,9.50,36.00,5.31,2.65,3.34,6.43,3.34,1.97,2.35,56.30,101.00,92.30,85.30,-0.57,0.94,93.40,137.00,87.00,"1,300.00",,,1.41,0.17,,,48.20,155.00,394.00,
CM22 코타와인더,2025.01.31,한솔감열지SF 장항,48,2025,1,1905,1.40,37.00,5.30,2.43,3.37,6.90,3.38,2.06,2.38,56.60,99.62,92.11,85.73,-0.62,1.02,93.46,137.00,87.00,"1,300.00",,,1.45,0.17,,,48.50,165.00,464.00,
CM22 코타와인더,2025.01.31,한솔감열지SF 장항,48,2025,1,2210,4.50,37.00,5.38,2.50,3.37,6.78,3.39,2.07,2.38,56.80,100.14,92.00,86.01,-0.58,0.90,93.32,137.00,87.00,"1,300.00",,,1.45,0.18,,,48.40,169.00,465.00,
CM22 코타와인더,2025.02.01,한솔감열지SF 장항,48,2025,2,0038,1.40,36.00,5.42,2.40,3.37,6.63,3.41,2.10,2.39,57.20,101.30,92.30,85.80,-0.56,0.85,93.40,137.00,87.00,"1,300.00",,,1.49,0.18,,,48.70,172.00,531.00,
CM22 코타와인더,2025.02.01,한솔감열지SF 장항,48,2025,2,0514,6.20,36.00,5.25,2.46,3.37,6.58,3.42,2.10,2.43,57.70,100.30,91.80,85.60,-0.64,0.94,93.20,137.00,87.00,"1,300.00",,,1.50,0.18,,,48.90,172.00,506.00,
CM22 코타와인더,2025.02.01,한솔감열지SF 장항,48,2025,2,0818,9.30,36.00,5.23,2.56,3.37,6.15,3.38,2.06,2.40,56.50,101.80,92.50,84.80,-0.53,0.90,93.50,137.00,87.00,"1,300.00",,,1.44,0.18,,,48.20,166.00,470.00,
CM22 코타와인더,2025.02.01,한솔감열지SF 장항,48,2025,2,1255,14.00,36.00,5.31,2.55,3.37,6.42,3.40,2.06,2.41,56.90,101.50,92.20,85.20,-0.53,0.88,93.30,137.00,87.00,"1,300.00",,,1.48,0.16,,,48.00,171.00,457.00,
CM22 코타와인더,2025.02.01,한솔감열지SF 장항,48,2025,2,1732,18.40,37.00,5.35,2.52,3.37,6.40,3.37,2.03,2.39,56.30,102.23,92.64,85.60,-0.52,0.82,93.48,140.00,90.00,"1,300.00",,,1.47,0.17,,,48.00,172.00,451.00,
CM22 코타와인더,2025.02.01,한솔감열지SF 장항,48,2025,2,2041,1.30,37.00,4.97,2.50,3.37,6.43,3.40,2.07,2.40,56.80,101.68,92.68,85.73,-0.51,0.95,93.59,140.00,90.00,"1,300.00",,,1.50,0.17,,,47.90,181.00,465.00,
CM22 코타와인더,2025.02.02,한솔감열지SF 장항,48,2025,2,0825,13.20,36.00,5.28,2.51,3.35,6.28,3.34,2.03,2.38,56.00,102.40,92.70,84.80,-0.48,0.84,93.50,140.00,90.00,"1,300.00",,,1.43,0.17,,,47.80,157.00,447.00,
CM22 코타와인더,2025.02.02,한솔감열지SF 장항,48,2025,2,0118,6.20,36.00,5.04,2.51,3.37,6.16,3.41,2.09,2.42,56.40,102.10,92.50,85.70,-0.52,0.89,93.50,140.00,90.00,"1,300.00",,,1.51,0.17,,,48.00,181.00,505.00,
CM22 코타와인더,2025.02.02,한솔감열지SF 장항,48,2025,2,0423,9.20,36.00,5.15,2.56,3.35,6.29,3.42,2.07,2.41,56.40,101.80,92.70,85.80,-0.50,0.90,93.60,140.00,90.00,"1,300.00",,,1.50,0.18,,,47.80,181.00,493.00,
CM22 코타와인더,2025.02.02,한솔감열지SF 장항,48,2025,2,1306,1.40,36.00,4.90,2.43,3.37,6.62,3.41,2.10,2.41,56.70,102.10,93.20,86.00,-0.47,0.92,93.70,140.00,90.00,"1,300.00",,,1.53,0.18,,,48.40,174.00,499.00,
CM22 코타와인더,2025.02.02,한솔감열지SF 장항,48,2025,2,1716,6.00,36.50,5.06,2.49,3.35,6.14,3.37,2.04,2.39,56.80,102.50,93.50,85.70,-0.44,0.91,93.90,140.00,90.00,"1,300.00",,,1.46,0.17,,,47.90,178.00,489.00,
CM22 코타와인더,2025.02.08,한솔감열지SF 장항,48,2025,2,1550,2.50,36.00,5.32,2.75,3.35,7.15,3.38,2.05,2.40,58.40,101.80,93.80,86.90,-0.53,0.96,94.10,150.00,100.00,"1,150.00",,,1.43,0.17,,,48.80,172.00,435.00,
CM22 코타와인더,2025.02.08,한솔감열지SF 장항,48,2025,2,2044,4.00,36.00,5.03,2.56,3.32,6.13,3.36,1.98,2.37,56.80,103.80,93.50,85.40,-0.46,0.98,93.90,143.00,93.00,"1,300.00",,,1.39,0.16,,,47.70,178.00,422.00,
CM22 코타와인더,2025.02.08,한솔감열지SF 장항,48,2025,2,1912,2.30,36.00,5.00,2.70,3.35,6.45,3.38,2.02,2.38,56.90,103.40,93.60,85.50,-0.41,0.94,94.10,140.00,90.00,"1,300.00",,,1.44,0.16,,,48.20,179.00,413.00,
CM22 코타와인더,2025.02.09,한솔감열지SF 장항,48,2025,2,1327,20.60,36.70,5.28,2.72,3.37,6.42,3.36,2.03,2.40,57.20,103.10,93.00,85.70,-0.45,0.85,93.80,145.00,95.00,"1,300.00",,,1.47,0.16,,,48.30,177.00,425.00,
CM22 코타와인더,2025.02.09,한솔감열지SF 장항,48,2025,2,0854,16.20,36.70,5.01,2.76,3.34,6.28,3.38,2.00,2.38,57.00,103.20,93.10,85.50,-0.42,0.86,93.80,143.00,93.00,"1,300.00",,,1.41,0.16,,,48.00,179.00,409.00,
CM22 코타와인더,2025.02.09,한솔감열지SF 장항,48,2025,2,0120,8.40,36.00,5.16,2.84,3.32,6.11,3.33,1.99,2.38,56.90,102.90,93.10,85.60,-0.42,0.91,93.80,143.00,93.00,"1,300.00",,,1.38,0.16,,,47.60,169.00,385.00,
CM22 코타와인더,2025.02.09,한솔감열지SF 장항,48,2025,2,0429,11.50,36.00,4.97,2.67,3.34,6.40,3.37,1.98,2.37,57.10,102.90,93.30,85.70,-0.41,0.94,93.90,143.00,93.00,"1,300.00",,,1.45,0.16,,,47.90,177.00,373.00,
CM22 코타와인더,2025.02.09,한솔감열지SF 장항,48,2025,2,1647,3.20,36.00,5.12,2.71,3.37,6.06,3.38,2.03,2.41,56.30,102.80,92.80,85.00,-0.50,0.93,93.70,145.00,95.00,"1,300.00",,,1.51,0.17,,,47.70,176.00,436.00,
CM22 코타와인더,2025.02.09,한솔감열지SF 장항,48,2025,2,1951,6.30,36.00,5.22,2.59,3.35,6.21,3.37,2.00,2.35,56.40,102.60,92.80,85.30,-0.51,0.93,93.80,145.00,95.00,"1,300.00",,,1.44,0.16,,,47.80,177.00,503.00,
CM22 코타와인더,2025.02.10,한솔감열지SF 장항,48,2025,2,0802,18.80,34.10,4.90,2.69,3.38,6.30,3.38,2.06,2.41,57.30,103.90,93.30,86.20,-0.41,0.84,93.90,145.00,95.00,"1,300.00",,,1.47,0.16,,,47.90,190.00,419.00,
CM22 코타와인더,2025.02.10,한솔감열지SF 장항,48,2025,2,1225,4.00,36.30,5.19,2.57,3.38,6.06,3.36,1.99,2.37,57.00,102.80,92.00,85.70,-0.57,0.88,93.30,145.00,95.00,"1,300.00",,,1.48,0.17,,,47.70,172.00,430.00,
CM22 코타와인더,2025.02.10,한솔감열지SF 장항,48,2025,2,0445,14.10,36.00,5.12,2.68,3.35,6.18,3.30,1.95,2.35,56.80,103.30,93.00,85.10,-0.48,0.97,93.80,145.00,95.00,"1,300.00",,,1.40,0.16,,,47.90,166.00,397.00,
CM22 코타와인더,2025.02.10,한솔감열지SF 장항,48,2025,2,0027,11.00,36.00,5.08,2.59,3.35,6.44,3.37,1.99,2.38,56.30,102.40,92.30,85.80,-0.48,0.89,93.40,145.00,95.00,"1,300.00",,,1.37,0.16,,,47.60,172.00,402.00,
CM22 코타와인더,2025.02.19,한솔감열지SF 장항,48,2025,2,0415,4.50,36.50,5.32,2.72,3.25,5.88,3.31,1.95,2.36,56.70,100.70,93.20,85.50,-0.45,1.10,94.10,145.00,95.00,"1,200.00",,,1.46,0.16,,,47.50,173.00,443.00,
CM22 코타와인더,2025.02.19,한솔감열지SF 장항,48,2025,2,0058,1.00,36.30,5.18,2.47,3.30,6.69,3.38,2.05,2.42,56.50,100.40,92.90,85.40,-0.47,1.12,94.00,145.00,95.00,"1,200.00",,,1.39,0.16,,,47.80,176.00,539.00,
CM22 코타와인더,2025.02.19,한솔감열지SF 장항,48,2025,2,0817,8.50,36.50,5.28,2.65,3.27,6.17,3.31,2.00,2.36,56.60,101.10,93.10,85.10,-0.45,1.06,94.00,145.00,95.00,"1,300.00",,,1.37,0.16,,,47.40,165.00,396.00,
CM22 코타와인더,2025.02.19,한솔감열지SF 장항,48,2025,2,1208,13.00,36.50,5.28,2.63,3.29,6.52,3.34,2.01,2.35,56.80,100.40,93.10,85.50,-0.46,1.01,94.00,145.00,95.00,"1,300.00",,,1.43,0.16,,,47.70,162.00,434.00,
CM22 코타와인더,2025.02.19,한솔감열지SF 장항,48,2025,2,1652,17.20,36.90,5.13,2.70,3.29,6.42,3.34,2.06,2.37,57.80,101.12,93.37,85.68,-0.47,1.09,94.11,145.00,95.00,"1,300.00",,,1.40,0.16,,,48.10,177.00,436.00,
CM22 코타와인더,2025.02.19,한솔감열지SF 장항,48,2025,2,1958,20.20,36.60,5.25,2.72,3.29,6.45,3.33,2.03,2.37,57.50,102.15,93.65,85.32,-0.44,1.06,94.18,150.00,100.00,"1,300.00",,,1.41,0.16,,,47.40,177.00,438.00,
CM22 코타와인더,2025.02.20,한솔감열지SF 장항,48,2025,2,0134,1.50,36.70,5.07,2.41,3.27,6.92,3.35,2.11,2.38,56.80,101.10,93.10,85.70,-0.48,0.95,93.90,145.00,95.00,"1,300.00",,,1.43,0.17,,,47.70,176.00,577.00,
CM22 코타와인더,2025.02.20,한솔감열지SF 장항,48,2025,2,0438,4.50,36.70,5.29,2.52,3.25,6.62,3.30,2.02,2.35,57.70,101.00,92.80,85.60,-0.45,0.96,93.80,145.00,95.00,"1,300.00",,,1.45,0.17,,,47.60,172.00,493.00,
CM22 코타와인더,2025.02.20,한솔감열지SF 장항,48,2025,2,0915,9.20,36.50,5.26,2.53,3.27,6.14,3.33,2.07,2.38,56.60,101.00,92.90,85.50,-0.48,1.01,93.80,145.00,95.00,"1,300.00",,,1.50,0.17,,,47.50,170.00,489.00,
CM22 코타와인더,2025.02.21,한솔감열지SF 장항,48,2025,2,1102,1.00,36.50,5.04,2.38,3.30,7.58,3.32,2.05,2.37,57.30,100.70,93.80,86.40,-0.42,1.10,94.30,145.00,95.00,"1,110.00",,,1.33,0.16,,,49.10,169.00,531.00,
CM22 코타와인더,2025.02.21,한솔감열지SF 장항,48,2025,2,2018,9.50,36.50,5.21,2.52,3.22,6.50,3.33,2.00,2.36,56.70,100.72,93.10,85.34,-0.46,1.08,94.04,145.00,95.00,"1,300.00",,,1.37,0.16,,,47.30,177.00,495.00,
CM22 코타와인더,2025.02.21,한솔감열지SF 장항,48,2025,2,1408,3.50,36.50,4.89,2.39,3.26,6.81,3.38,2.11,2.39,56.40,101.30,93.60,85.90,-0.46,1.09,94.20,145.00,95.00,"1,300.00",,,1.50,0.16,,,48.00,169.00,508.00,
CM22 코타와인더,2025.02.21,한솔감열지SF 장항,48,2025,2,1713,6.50,36.70,5.23,2.52,3.24,6.55,3.33,2.01,2.37,57.00,101.16,93.40,85.25,-0.49,1.14,94.14,145.00,95.00,"1,300.00",,,1.44,0.16,,,47.50,176.00,478.00,
CM22 코타와인더,2025.02.22,한솔감열지SF 장항,48,2025,2,1730,12.50,36.50,5.10,2.40,3.25,6.27,3.32,2.06,2.37,57.10,100.60,92.80,85.50,-0.48,1.02,93.90,147.00,97.00,"1,300.00",,,1.38,0.16,,,47.60,174.00,587.00,
CM22 코타와인더,2025.02.22,한솔감열지SF 장항,48,2025,2,0056,14.30,36.00,5.25,2.51,3.22,6.66,3.35,2.08,2.34,57.50,100.80,92.90,85.50,-0.50,1.03,93.90,145.00,95.00,"1,300.00",,,1.43,0.17,,,47.80,174.00,536.00,
CM22 코타와인더,2025.02.22,한솔감열지SF 장항,48,2025,2,0401,17.40,36.00,5.11,2.53,3.25,6.66,3.34,2.05,2.38,57.30,100.50,92.80,85.20,-0.50,1.02,93.90,145.00,95.00,"1,300.00",,,1.41,0.17,,,47.40,178.00,533.00,
CM22 코타와인더,2025.02.22,한솔감열지SF 장항,48,2025,2,0815,3.10,36.50,5.15,2.46,3.25,6.50,3.33,2.12,2.40,56.10,100.20,92.50,85.90,-0.54,1.01,93.70,147.00,97.00,"1,300.00",,,1.43,0.17,,,47.70,169.00,546.00,
CM22 코타와인더,2025.02.22,한솔감열지SF 장항,48,2025,2,2034,15.50,36.50,5.13,2.49,3.25,6.60,3.33,2.07,2.38,56.80,100.50,92.70,86.00,-0.46,1.06,93.80,147.00,97.00,"1,300.00",,,1.48,0.17,,,47.30,178.00,489.00,
CM22 코타와인더,2025.02.22,한솔감열지SF 장항,48,2025,2,1253,8.00,36.50,5.10,2.36,3.25,6.27,3.32,2.08,2.37,56.10,100.50,92.70,85.00,-0.50,1.04,93.80,147.00,97.00,"1,300.00",,,1.43,0.17,,,47.40,168.00,508.00,
CM22 코타와인더,2025.02.23,한솔감열지SF 장항,48,2025,2,0430,2.30,36.00,4.99,2.40,3.28,6.35,3.36,2.11,2.40,56.40,101.10,93.20,85.50,-0.43,1.02,94.00,147.00,97.00,"1,300.00",,,1.47,0.17,,,47.60,179.00,577.00,
CM22 코타와인더,2025.02.23,한솔감열지SF 장항,48,2025,2,0014,19.10,36.00,5.17,2.47,3.25,6.10,3.36,2.09,2.37,56.70,101.10,92.80,84.40,-0.47,1.00,93.90,147.00,97.00,"1,300.00",,,1.49,0.17,,,47.10,174.00,524.00,
CM22 코타와인더,2025.02.23,한솔감열지SF 장항,48,2025,2,0813,6.10,36.50,5.14,2.37,3.28,6.59,3.39,2.12,2.40,56.00,100.80,92.70,84.60,-0.50,0.98,93.80,147.00,97.00,"1,300.00",,,1.43,0.17,,,47.60,165.00,533.00,
CM22 코타와인더,2025.02.23,한솔감열지SF 장항,48,2025,2,1951,18.00,36.50,5.16,2.58,3.24,6.00,3.35,2.07,2.38,56.50,101.50,93.20,85.00,-0.45,0.98,93.90,147.00,97.00,"1,300.00",,,1.48,0.17,,,47.10,178.00,505.00,
CM22 코타와인더,2025.02.23,한솔감열지SF 장항,48,2025,2,1226,10.30,36.50,5.04,2.39,3.28,6.41,3.34,2.06,2.40,56.50,100.20,92.40,84.80,-0.55,1.04,93.70,147.00,97.00,"1,300.00",,,1.46,0.17,,,47.40,169.00,511.00,
CM22 코타와인더,2025.02.23,한솔감열지SF 장항,48,2025,2,1650,15.00,36.50,4.93,2.45,3.26,6.15,3.36,2.04,2.38,56.90,101.20,93.50,85.00,-0.45,1.03,94.00,147.00,97.00,"1,300.00",,,1.46,0.17,,,47.10,179.00,498.00,
CM22 코타와인더,2025.02.25,한솔감열지SF 장항,48,2025,2,1617,14.50,36.50,5.06,2.51,3.26,6.76,3.35,2.09,2.38,57.20,100.20,93.40,85.50,-0.43,1.00,94.10,150.00,100.00,"1,300.00",,,1.42,0.16,,,47.80,186.00,523.00,
CM22 코타와인더,2025.02.25,한솔감열지SF 장항,48,2025,2,1314,11.20,36.70,5.23,2.53,3.28,6.51,3.34,2.08,2.38,57.60,100.39,93.29,84.92,-0.46,1.03,94.09,147.00,97.00,"1,300.00",,,1.42,0.16,,,47.60,170.00,498.00,
CM22 코타와인더,2025.02.25,한솔감열지SF 장항,48,2025,2,2126,18.00,36.50,5.03,2.59,3.24,6.33,3.34,2.08,2.38,56.80,99.70,92.70,84.90,-0.54,1.04,93.60,150.00,100.00,"1,300.00",,,1.43,0.17,,,47.20,182.00,510.00,
CM22 코타와인더,2025.02.28,한솔감열지SF 장항,48,2025,2,0103,11.10,36.50,4.88,2.30,3.20,6.05,3.31,2.14,2.39,56.10,100.10,92.40,85.80,-0.41,0.98,93.70,145.00,95.00,"1,300.00",,,1.40,0.16,,,47.00,174.00,615.00,
CM22 코타와인더,2025.02.28,한솔감열지SF 장항,48,2025,2,0915,2.20,36.40,4.80,2.23,3.18,6.50,3.34,2.12,2.37,55.80,99.31,92.62,85.35,-0.50,1.10,93.89,145.00,95.00,"1,300.00",,,1.37,0.16,,,47.50,184.00,722.00,
CM22 코타와인더,2025.02.28,한솔감열지SF 장항,48,2025,2,1232,5.30,36.50,4.96,2.35,3.18,5.50,3.34,2.09,2.36,55.20,99.27,92.42,85.04,-0.51,1.12,93.80,142.00,92.00,"1,300.00",,,1.41,0.16,,,46.80,186.00,632.00,
CM22 코타와인더,2025.02.28,한솔감열지SF 장항,48,2025,2,1710,10.10,36.00,4.89,2.32,3.18,6.19,3.29,2.04,2.33,55.30,99.80,92.50,84.60,-0.53,1.08,93.80,140.00,90.00,"1,300.00",,,1.38,0.16,,,47.10,187.00,722.00,
CM22 코타와인더,2025.02.28,한솔감열지SF 장항,48,2025,2,2039,2.40,36.00,4.81,2.25,3.21,6.40,3.35,2.13,2.35,56.70,98.80,92.20,85.90,-0.53,1.10,93.90,138.00,88.00,"1,300.00",,,1.39,0.17,,,48.30,190.00,760.00,
CM22 코타와인더,2025.03.01,한솔감열지SF 장항,48,2025,3,0030,6.30,36.50,5.01,2.31,3.23,6.17,3.34,2.15,2.37,56.50,100.20,92.70,84.90,-0.50,1.13,93.90,138.00,88.00,"1,300.00",,,1.36,0.16,,,47.70,172.00,666.00,
CM22 코타와인더,2025.03.01,한솔감열지SF 장항,48,2025,3,0400,10.00,36.50,4.98,2.37,3.25,6.42,3.35,2.09,2.37,56.20,99.60,92.50,85.40,-0.52,1.12,93.80,138.00,88.00,"1,300.00",,,1.41,0.17,,,47.80,173.00,616.00,
CM22 코타와인더,2025.03.01,한솔감열지SF 장항,48,2025,3,0839,14.60,36.80,5.11,2.45,3.25,6.32,3.31,2.08,2.35,57.20,99.60,92.50,85.40,-0.47,1.12,93.80,138.00,88.00,"1,300.00",,,1.39,0.17,,,48.10,178.00,607.00,
CM22 코타와인더,2025.03.02,한솔감열지SF 장항,48,2025,3,2158,7.50,36.00,5.01,2.50,3.28,6.55,3.38,2.11,2.41,56.70,99.80,92.30,84.90,-0.55,1.14,93.70,138.00,88.00,"1,300.00",,,1.49,0.17,,,48.00,190.00,612.00,
